example_id                                                           | status  | run_time        |
-------------------------------------------------------------------- | ------- | --------------- |
./spec/cli/command_parser_spec.rb[1:1:1]                             | passed  | 0.01485 seconds |
./spec/cli/command_parser_spec.rb[1:1:2]                             | passed  | 0.00019 seconds |
./spec/cli/command_parser_spec.rb[1:1:3]                             | passed  | 0.00015 seconds |
./spec/cli/command_parser_spec.rb[1:1:4]                             | passed  | 0.00016 seconds |
./spec/cli/command_parser_spec.rb[1:1:5]                             | passed  | 0.00014 seconds |
./spec/cli/command_spec.rb[1:1:1]                                    | passed  | 0.00192 seconds |
./spec/cli/command_spec.rb[1:1:2]                                    | passed  | 0.00037 seconds |
./spec/cli/command_spec.rb[1:1:3]                                    | passed  | 0.0016 seconds  |
./spec/cli/config_spec.rb[1:1:1]                                     | passed  | 0.00182 seconds |
./spec/cli/config_spec.rb[1:2:1]                                     | passed  | 0.00087 seconds |
./spec/cli/config_spec.rb[1:3:1]                                     | passed  | 0.00083 seconds |
./spec/cli/config_spec.rb[1:3:2]                                     | passed  | 0.00083 seconds |
./spec/cli/config_spec.rb[1:3:3]                                     | passed  | 0.0015 seconds  |
./spec/cli/config_spec.rb[1:3:4]                                     | passed  | 0.00089 seconds |
./spec/cli/config_spec.rb[1:3:5]                                     | passed  | 0.00092 seconds |
./spec/cli/config_spec.rb[1:3:6]                                     | passed  | 0.00277 seconds |
./spec/cli/config_spec.rb[1:3:7]                                     | passed  | 0.0009 seconds  |
./spec/cli/config_spec.rb[1:3:8]                                     | passed  | 0.00092 seconds |
./spec/cli/config_spec.rb[1:3:9]                                     | passed  | 0.00086 seconds |
./spec/cli/config_spec.rb[1:3:10]                                    | passed  | 0.00082 seconds |
./spec/cli/config_spec.rb[1:4:1]                                     | passed  | 0.0009 seconds  |
./spec/cli/config_spec.rb[1:4:2]                                     | passed  | 0.00084 seconds |
./spec/cli/config_spec.rb[1:4:3]                                     | passed  | 0.00086 seconds |
./spec/cli/config_spec.rb[1:4:4]                                     | passed  | 0.00102 seconds |
./spec/cli/config_spec.rb[1:4:5]                                     | passed  | 0.00104 seconds |
./spec/cli/config_spec.rb[1:4:6]                                     | passed  | 0.00113 seconds |
./spec/cli/config_spec.rb[1:4:7]                                     | passed  | 0.00099 seconds |
./spec/cli/config_spec.rb[1:4:8]                                     | passed  | 0.00165 seconds |
./spec/cli/config_spec.rb[1:4:9]                                     | passed  | 0.00182 seconds |
./spec/cli/config_spec.rb[1:4:10]                                    | passed  | 0.0018 seconds  |
./spec/cli/diff_spec.rb[1:1:1]                                       | passed  | 0.00168 seconds |
./spec/cli/diff_spec.rb[1:2:1]                                       | passed  | 0.0436 seconds  |
./spec/cli/diff_spec.rb[1:2:2]                                       | passed  | 0.00468 seconds |
./spec/cli/diff_spec.rb[1:2:3]                                       | passed  | 0.00911 seconds |
./spec/cli/diff_spec.rb[1:2:4]                                       | passed  | 0.00475 seconds |
./spec/cli/diff_spec.rb[1:2:5]                                       | passed  | 0.00459 seconds |
./spec/cli/diff_spec.rb[1:2:6]                                       | passed  | 0.00481 seconds |
./spec/cli/diff_spec.rb[1:3:1]                                       | passed  | 0.04764 seconds |
./spec/cli/diff_spec.rb[1:3:2]                                       | passed  | 0.00129 seconds |
./spec/cli/diff_spec.rb[1:3:3]                                       | passed  | 0.00267 seconds |
./spec/cli/diff_spec.rb[1:3:4]                                       | passed  | 0.0014 seconds  |
